"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2019","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2019","draw","save"
"mean",0.076950400986583,26234.3181063237,1.09441413330784,1.33554617818891,1.018510493616,1.7099990296286,14811.5137173056,0,0.509261441861279,680.234486626763,1956.4987,0,14811.5157388027,19817.9328500615,25709.1753897242,0.07695039936711,0.0728866099879228,0.0466351504232193,0.498968074012821,0,-9999,35.1909175361398,0,16.9629351011537,0,52.1538526372934,2.96199290736785e-23,0.0252674055382906,0.56710166909502,0.761233671491752,0.982375897226765,506192.1543,1
"median",0.0763432398913428,25995.6415186283,1.08996643740457,1.33584976039594,1.01850114638648,1.71016873945457,14777.7723990148,0,0.514225414255634,580.994533358934,1958,0,14777.7854218355,19816.2363215284,25711.0396683903,0.0763432388918047,0.0733039425093964,0.0439609391776236,0.498189283687121,0,-9999,34.9933315945146,0,16.748639399356,0,51.8734783162447,2.96233804759535e-23,0.0222439160854895,0.568678184395494,0.762146406553727,0.999682354056887,507258,1
"2.5%PI",0.0475236364384065,22707.2526078837,1.00484677733354,1.2541665931535,1.01294219903449,1.56786287579153,13074.0138003341,0,0.0300791729416233,218.324988287191,1926,0,13074.0078758735,17691.1672643639,22683.3612213191,0.0475236308339347,0.0472851339751638,0.0246294978600323,0.455109890743866,0,-9999,34.6569425951295,0,16.2262652743875,0,51.1950085670812,1.77149777449042e-24,0.00933467806783348,0.472304434912156,0.598923275924077,0.844207281562815,25414.575,1
"97.5%PI",0.109576013887452,31492.2807117747,1.29083113914205,1.41551679198875,1.02411950927779,1.85145415099158,16694.908189759,0,0.976094010134693,1641.01425028248,1968,0,16694.9082006628,21889.1016940774,28965.0135531871,0.109576013855329,0.0962474286178535,0.0833198296078561,0.54884652266215,0,-9999,36.7297163228803,0,18.9526986108899,0,54.6902168451838,5.83835203847629e-23,0.0555055780781187,0.646709025516508,0.911527655867067,1.00000093751764,988126.475,1
"5%PI",0.0519374236763921,23130.9438744296,1.00961664716815,1.25883112065261,1.01381975787465,1.58873096638087,13350.3439752792,0,0.0551559697254561,263.278107938889,1926,0,13350.5822619282,18006.3662925404,23094.2986832939,0.0519374170626876,0.0516210118970249,0.0268437630799391,0.461114209417305,0,-9999,34.6739784818131,0,16.2481939616682,0,51.2349856426373,3.50483316361887e-24,0.0109396939452426,0.493260112397528,0.624801543734439,0.89186964924065,51276.5,1
"95%PI",0.104539763247268,30156.101820489,1.16262364090173,1.41164335864608,1.02315939346767,1.8299100072276,16391.6043124511,0,0.95320211565122,1433.19096992795,1968,0,16391.6473348006,21605.4278879781,28165.6894999554,0.104539763224525,0.0929592643232646,0.076306054015855,0.539555255857206,0,-9999,36.3994229872465,0,18.3954097108309,0,54.0078996850957,5.60955557488399e-23,0.0496018360359455,0.63521719495448,0.891920349735025,1.00000016960807,961704.8,1
"min",0.0267286593606696,20874.5581664335,1.00003948627726,1.2500118885329,1.00771625231193,1.42780853543239,11704.553002608,0,0.000392226967960596,143.97935968054,1926,0,11703.6920711416,15406.7502431584,20501.3930548765,0.0267286512900045,0.026725517351994,0.0152608158325047,0.423360677908238,0,-9999,34.6183919826998,0,16.201272139069,0,51.1024338614319,3.649439339707e-27,0.00571278711011789,0.386262193252743,0.463431131619519,0.557357922690588,23,1
"max",0.117959759220947,37986.9514786785,1.42735733046779,1.41998596671969,1.02947735148582,1.97484764543786,18290.378040052,0,0.999760240549222,3632.57811284333,1968,0,18290.3779872681,24300.1286404237,32736.162681619,0.117959759218277,0.114149313229872,0.108245795936998,0.62815782120168,0,-9999,38.8442478355169,0,26.2389414390698,0,60.8752239606031,6.40464352095893e-23,0.114300840033883,0.75343954111605,0.992080245754569,1.00033563238001,1013160,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
