"","r_max","K","catch_multiplier_1","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"mean",0.0872141023501471,23839.5011222017,1,15655.66622773,0,752.653141913204,1952.7586,0,15655.6716824298,21640.8905675402,0,-9999,0,-9999,0,0,18.0500249713959,0,18.0500249713959,1.95930797023314e-08,0.0288922897180384,0.659053018133439,0.91354092847847,19223.1127,1
"median",0.0931938761852216,23284.9161226239,1,15589.9003302911,0,396.226089790061,1958,0,15589.9113989097,21741.4743416501,0,-9999,0,-9999,0,0,17.7700164105538,0,17.7700164105538,1.91681511758003e-08,0.017011415662073,0.658867793219059,0.939540592443327,18982,1
"2.5%PI",0.028604715544323,22237.1355217134,1,13642.7308500482,0,211.344284095299,1926,0,13642.7297804845,19783.4818407931,0,-9999,0,-9999,0,0,17.0324604184149,0,17.0324604184149,1.14135752388402e-09,0.00944861875204199,0.557509819742304,0.693897360098261,1014.65,1
"97.5%PI",0.117127811455633,28698.7965733799,1,17912.5028395967,0,3548.43655753776,1968,0,17912.501308469,22536.7516385435,0,-9999,0,-9999,0,0,20.5910475611941,0,20.5910475611941,4.00771128111329e-08,0.123559890988786,0.759276794801059,0.979524842768767,37196,1
"5%PI",0.0388461430309806,22278.3912612067,1,13962.1642015409,0,224.097708581851,1926,0,13962.1379569219,20412.6597963304,0,-9999,0,-9999,0,0,17.076866604783,0,17.076866604783,2.02058483401174e-09,0.0100583873185463,0.577480535203792,0.759227583686762,2072.75,1
"95%PI",0.116117823082954,27039.7002761529,1,17541.7305303446,0,2223.8480091578,1968,0,17541.7298007952,22382.5628753404,0,-9999,0,-9999,0,0,20.0198788571905,0,20.0198788571905,3.83363768320958e-08,0.0820823786824124,0.742268262030634,0.976667484277448,36328.25,1
"min",7.52083878032863e-05,22203.7553246079,1,12251.1187655618,0,165.873442172624,1926,0,12251.5769324633,15720.3688552267,0,-9999,0,-9999,0,0,16.9810829527793,0,16.9810829527793,1.59002873700553e-11,0.00744920763453121,0.33972553573415,0.341311629398833,7,1
"max",0.117951748072635,50085.8285109153,1,20194.1462620161,0,19694.345751479,1968,0,20194.1462692468,23619.6187866506,0,-9999,0,-9999,0,0,24.8646839332773,0,24.8646839332773,4.21899855723236e-08,0.393211939125396,0.847029707551039,0.99166608117974,38357,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
